Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-10-27,55382.83203125,55941.31437106093,54824.34969143908,55568.992811186974,21756712
2022-10-28,53335.05859375,55103.585842059336,53241.97821226003,54824.34469758944,20924937
2022-10-31,55289.7421875,55755.14405776515,53986.616950757576,54079.69732481061,18999514
2022-11-01,55848.2265625,56127.4676953125,55382.82467447917,55755.146184895835,17201647
2022-11-02,55475.91015625,55848.23170092282,55196.668997745386,55568.99054241821,13202919
2022-11-03,55103.5859375,55662.06822740709,54079.70173933699,54545.10364759291,17492162
2022-11-04,55289.7421875,55382.82256155303,54358.938446969696,55010.50106534091,12445841
2022-11-07,56034.390625,56127.47100809801,55289.74756021595,55568.98870950997,12437246
2022-11-08,57523.6875,57616.76790048544,56313.64229368932,56313.64229368932,18273898
2022-11-09,57709.84765625,57896.008455141135,57058.284860131054,57709.84765625,14045592
2022-11-10,56220.55859375,57244.442939000415,56220.55859375,57151.36254397765,21087633
2022-11-11,58547.56640625,58826.80758147854,57989.084055792926,58733.72718973569,20037163
2022-11-14,57616.765625,58547.5695930937,57430.60483138126,58547.5695930937,15973416
2022-11-15,58082.16015625,58175.24054111579,57337.51707732372,57895.99938651843,12310986
2022-11-16,58361.40625,58361.40625,57430.602322567785,58082.16507177034,12909260
2022-11-17,57151.359375,57709.84171416938,57058.27898513844,57709.84171416938,13298296
2022-11-18,57523.6875,58082.169902912625,57151.365898058255,57523.6875,12236503
2022-11-21,57151.359375,57523.68093444625,56592.87703583062,57151.359375,9378097
2022-11-22,56406.71875,56965.20111386139,56127.477568069306,56685.959931930694,9411289
2022-11-23,56779.0390625,57058.28023821721,56499.797886782784,56965.19984631147,8765050
2022-11-24,57151.359375,57430.60054458469,56685.957425692184,56965.198595276874,8125010
2022-11-25,56779.0390625,57430.60180584016,56592.87827868852,57151.36063012295,6677933
2022-11-28,55941.30859375,56313.63011517263,55662.067452683026,56313.63011517263,8589032
2022-11-29,56406.71875,56406.71875,55662.07559818482,55755.155992161715,7014160
